ENSG00000290825	NO_NAME_2655
ENSG00000223972	DDX11L1
ENSG00000310526	WASH7P_1
ENSG00000227232	WASH7P
ENSG00000278267	MIR6859-1
ENSG00000243485	MIR1302-2HG
ENSG00000284332	MIR1302-2
ENSG00000237613	FAM138A
ENSG00000308361	NO_NAME_2656
ENSG00000290826	NO_NAME_2772
ENSG00000268020	OR4G4P
ENSG00000240361	OR4G11P
ENSG00000186092	OR4F5
ENSG00000241860	NO_NAME_2893
ENSG00000239945	NO_NAME_625
ENSG00000308314	NO_NAME_2657
ENSG00000233750	CICP27
ENSG00000308579	NO_NAME_2774
ENSG00000268903	NO_NAME_2773
ENSG00000269981	NO_NAME_2775
ENSG00000239906	NO_NAME_2658
ENSG00000310528	NO_NAME_2839
ENSG00000222623	RNU6-1100P
ENSG00000241599	NO_NAME_626
ENSG00000308415	NO_NAME_2837
ENSG00000310527	NO_NAME_2838
ENSG00000279928	DDX11L17
ENSG00000279457	WASH9P
ENSG00000273874	MIR6859-2
ENSG00000308625	NO_NAME_2659
ENSG00000308544	NO_NAME_2660
ENSG00000292994	NO_NAME_2816
ENSG00000228463	NO_NAME_996
ENSG00000306775	NO_NAME_2257
ENSG00000286448	NO_NAME_1841
ENSG00000236679	RPL23AP24
ENSG00000236601	NO_NAME_1980
ENSG00000290385	NO_NAME_1979
ENSG00000269732	WBP1LP7
ENSG00000284733	OR4F29
ENSG00000237094	NO_NAME_920
ENSG00000233653	CICP7
ENSG00000250575	NO_NAME_870
ENSG00000278757	NO_NAME_2865
ENSG00000293331	NO_NAME_2704
ENSG00000225880	LINC00115
ENSG00000235146	NO_NAME_2701
ENSG00000225972	MTND1P23
ENSG00000225630	MTND2P28
ENSG00000237973	MTCO1P12
ENSG00000278791	NO_NAME_886
ENSG00000229344	MTCO2P12
ENSG00000240409	MTATP8P1
ENSG00000248527	MTATP6P1
ENSG00000198744	MTCO3P12
ENSG00000268663	WBP1LP6
ENSG00000284662	OR4F16
ENSG00000230021	NO_NAME_1007
ENSG00000229376	CICP3
ENSG00000223181	RNU6-1199P
ENSG00000229905	NO_NAME_1032
ENSG00000228327	NO_NAME_932
ENSG00000237491	LINC01409
ENSG00000285268	NO_NAME_553
ENSG00000230092	NO_NAME_926
ENSG00000177757	FAM87B
ENSG00000228794	LINC01128
ENSG00000297178	NO_NAME_2702
ENSG00000297224	NO_NAME_2703
ENSG00000230368	FAM41C
ENSG00000234711	TUBB8P11
ENSG00000283040	NO_NAME_554
ENSG00000296088	NO_NAME_2929
ENSG00000272438	NO_NAME_2930
ENSG00000298603	NO_NAME_2931
ENSG00000223764	LINC02593
ENSG00000187634	SAMD11
ENSG00000188976	NOC2L
ENSG00000187961	KLHL17
ENSG00000187583	PLEKHN1
ENSG00000187642	PERM1
ENSG00000303599	NO_NAME_2932
ENSG00000272512	NO_NAME_530
ENSG00000188290	HES4
ENSG00000303623	NO_NAME_2933
ENSG00000187608	ISG15
ENSG00000303614	NO_NAME_2934
ENSG00000231702	NO_NAME_531
ENSG00000224969	NO_NAME_1033
ENSG00000188157	AGRN
ENSG00000242590	NO_NAME_532
ENSG00000291156	NO_NAME_2935
ENSG00000273443	NO_NAME_2936
ENSG00000217801	PTPN11BP
ENSG00000304119	NO_NAME_2937
ENSG00000304169	NO_NAME_2938
ENSG00000237330	RNF223
ENSG00000131591	C1orf159
ENSG00000285812	NO_NAME_1034
ENSG00000299943	NO_NAME_2939
ENSG00000223823	LINC01342
ENSG00000304965	NO_NAME_2940
ENSG00000207730	MIR200B
ENSG00000207607	MIR200A
ENSG00000198976	MIR429
ENSG00000272141	NO_NAME_555
ENSG00000205231	TTLL10-AS1
ENSG00000162571	TTLL10
ENSG00000186891	TNFRSF18
ENSG00000186827	TNFRSF4
