gene_name	average_group
CD4	CD4 [CD4]
CD8A	CD8 [CD8A]
CD8B	CD8 [CD8B]
CD3E	T [CD3E]
CD3D	T [CD3D]
CD14	Mono;Mac [CD14]
LYZ	Mono;Mac [LYZ]
CD79A	B [CD79A]
MS4A1	B [MS4A1]
CD80	APC [CD80]
CD86	APC [CD86]
CD40	APC [CD40]
MKI67	proliferating [MKI67]
TOP2A	proliferating [TOP2A]
CDC45	proliferating-S [CDC45]
PCNA	proliferating-S [PCNA]
SYCP2	proliferating-S [SYCP2]
CCNB1	proliferating-M [CCNB1]
CCNB2	proliferating-M [CCNB2]
RHOB	cytokine-trafficking [RHOB]
CD69	activation-early [CD69]
CTLA4	activation;Treg [CTLA4]
IL2RA	activation;Treg [IL2RA]
MDM2	p53;apoptosis [MDM2]
BAX	p53;apoptosis [BAX]
BCL2	p53;apoptosis [BCL2]
FDXR	p53;apoptosis [FDXR]
PHLDA3	p53;apoptosis [PHLDA3]
TP53	p53;apoptosis [TP53]
BBC3	apoptosis [BBC3]
FOXP3	Treg [FOXP3]
IKZF2	Treg [IKZF2]
GATA3	Th2 [GATA3]
TBX21	Th [TBX21]
RORC	Th17 [RORC]
EGR2	activation-early [EGR2]
EGR3	activation-early [EGR3]
IL9R	Th2;Th17;Th9 [IL9R]
GZMB	Cytotoxic [GZMB]
GZMA	Cytotoxic [GZMA]
NKG7	Cytotoxic [NKG7]
GZMK	Th-effector [GZMK]
IFNG	Th-effector [IFNG]
IL10	Th-effector [IL10]
IL13	Th2 [IL13]
IL4	Th2 [IL4]
IL5	Th2 [IL5]
IL9	Th9 [IL9]
IL17A	Th17 [IL17A]
IL17F	Th17 [IL17F]
IL7R	Th-resting [IL7R]
CD52	Th-resting [CD52]
CCR7	Quiecence;Tn;Tcm [CCR7]
SELL	Quiecence;Tn [SELL]
IFIH1	IFIH1 [IFIH1]
HLA-DMA	HLA-II [mean]
HLA-DPA1	HLA-II [mean]
HLA-DQA1	HLA-II [mean]
HLA-DQA2	HLA-II [mean]
HLA-DQB1	HLA-II [mean]
HLA-DRA	HLA-II [mean]
HLA-DRB5	HLA-II [mean]
CIITA	HLA-II regulation [CIITA]
CD74	HLA-II regulation [CD74]
HSPA5	HSP [mean]
HSPA8	HSP [mean]
HSPB1	HSP [mean]
HSPD1	HSP [mean]
HSPE1	HSP [mean]
HSPH1	HSP [mean]
IFI27	IFI [mean]
IFI30	IFI [mean]
IFI44	IFI [mean]
IFI6	IFI [mean]
IFITM1	IFI [mean]
IFITM2	IFI [mean]
IFITM3	IFI [mean]
CCL1	CCL [mean]
CCL3	CCL [mean]
CCL4	CCL [mean]
CCL5	CCL [mean]
CCL4L2	CCL [mean]
CCL3L1	CCL [mean]
CXCL8	CCL [mean]
MT-ATP6	mitochondria [mean]
MT-ATP8	mitochondria [mean]
MT-CO1	mitochondria [mean]
MT-CO2	mitochondria [mean]
MT-CO3	mitochondria [mean]
MT-CYB	mitochondria [mean]
MT-ND1	mitochondria [mean]
MT-ND2	mitochondria [mean]
MT-ND3	mitochondria [mean]
MT-ND4	mitochondria [mean]
MT-ND4L	mitochondria [mean]
MT-ND5	mitochondria [mean]
MT-ND6	mitochondria [mean]
H1-1	HIST [mean]
H1-2	HIST [mean]
H1-3	HIST [mean]
H1-4	HIST [mean]
H1-5	HIST [mean]
SLC7A11	aminoacid [SLC7A11]
PSAT1	aminoacid [PSAT1]
PHGDH	aminoacid [PHGDH]
ATF4	ER stress [ATF4]
SERP1	ER stress [SERP1]
FLNA	cytoskeleton [FLNA]
PLEC	cytoskeleton [PLEC]
MYH9	cytoskeleton [MYH9]
FOXO1	quiecence; cellular stress response [FOXO1]
KLF2	quiecence [KLF2]
S1PR1	quiecence; Tn [S1PR1]
PSMA1	26S proteasome [mean]
PSMA2	26S proteasome [mean]
PSMA3	26S proteasome [mean]
PSMA4	26S proteasome [mean]
PSMA5	26S proteasome [mean]
PSMA6	26S proteasome [mean]
PSMA7	26S proteasome [mean]
PSMB1	26S proteasome [mean]
PSMB2	26S proteasome [mean]
PSMB3	26S proteasome [mean]
PSMB4	26S proteasome [mean]
PSMB5	26S proteasome [mean]
PSMB6	19s proteasome [mean]
PSMC1	19s proteasome [mean]
PSMC2	19s proteasome [mean]
PSMC3	19s proteasome [mean]
PSMC4	19s proteasome [mean]
PSMC5	19s proteasome [mean]
PSMD1	19s proteasome [mean]
PSMD2	19s proteasome [mean]
PSMD3	19s proteasome [mean]
PSMD4	19s proteasome [mean]
PSMD8	19s proteasome [mean]
PSMD11	19s proteasome [mean]
PSMD13	19s proteasome [mean]
PSMD14	19s proteasome [mean]
PSME4	proteasome regulation [PSME4]
POMP	proteasome regulation [POMP]
PSMG1	proteasome regulation [PSMG1]
PSMB8	immunoproteasome [mean]
PSMB9	immunoproteasome [mean]
PSMB10	immunoproteasome [mean]
PSME1	immunoproteasome [mean]
PSME2	immunoproteasome [mean]
GAPDH	glycolysis [GAPDH]
SLC16A3	glycolysis/lactate [SLC16A3]
LDHA	glycolysis/lactate [LDHA]
LDHB	glycolysis/lactate [LDHB]
CYCS	oxphos [CYCS]
TPI1	glycolysis [TPI1]
PGK1	glycolysis [PGK1]
SLC2A1	glucose uptake [SLC2A1]
ALDOA	glycolysis [ALDOA]
ENO1	glycolysis [ENO1]
PKM	glycolysis [PKM]
ACADVL	fatty acid oxidation [ACADVL]
