ensembl_id	average_group
ENSG00000010610	CD4 [CD4]
ENSG00000153563	CD8 [CD8A]
ENSG00000172116	CD8 [CD8B]
ENSG00000198851	T [CD3E]
ENSG00000167286	T [CD3D]
ENSG00000170458	Mono;Mac [CD14]
ENSG00000090382	Mono;Mac [LYZ]
ENSG00000105369	B [CD79A]
ENSG00000156738	B [MS4A1]
ENSG00000121594	APC [CD80]
ENSG00000114013	APC [CD86]
ENSG00000101017	APC [CD40]
ENSG00000148773	proliferating [MKI67]
ENSG00000131747	proliferating [TOP2A]
ENSG00000093009	proliferating-S [CDC45]
ENSG00000132646	proliferating-S [PCNA]
ENSG00000196074	proliferating-S [SYCP2]
ENSG00000134057	proliferating-M [CCNB1]
ENSG00000157456	proliferating-M [CCNB2]
ENSG00000143878	cytokine-trafficking [RHOB]
ENSG00000110848	activation-early [CD69]
ENSG00000163599	activation;Treg [CTLA4]
ENSG00000134460	activation;Treg [IL2RA]
ENSG00000135679	p53;apoptosis [MDM2]
ENSG00000087088	p53;apoptosis [BAX]
ENSG00000171791	p53;apoptosis [BCL2]
ENSG00000161513	p53;apoptosis [FDXR]
ENSG00000174307	p53;apoptosis [PHLDA3]
ENSG00000141510	p53;apoptosis [TP53]
ENSG00000105327	apoptosis [BBC3]
ENSG00000049768	Treg [FOXP3]
ENSG00000030419	Treg [IKZF2]
ENSG00000107485	Th2 [GATA3]
ENSG00000073861	Th [TBX21]
ENSG00000143365	Th17 [RORC]
ENSG00000122877	activation-early [EGR2]
ENSG00000179388	activation-early [EGR3]
ENSG00000124334	Th2;Th17;Th9 [IL9R]
ENSG00000100453	Cytotoxic [GZMB]
ENSG00000145649	Cytotoxic [GZMA]
ENSG00000105374	Cytotoxic [NKG7]
ENSG00000113088	Th-effector [GZMK]
ENSG00000111537	Th-effector [IFNG]
ENSG00000136634	Th-effector [IL10]
ENSG00000169194	Th2 [IL13]
ENSG00000113520	Th2 [IL4]
ENSG00000113525	Th2 [IL5]
ENSG00000145839	Th9 [IL9]
ENSG00000112115	Th17 [IL17A]
ENSG00000112116	Th17 [IL17F]
ENSG00000168685	Th-resting [IL7R]
ENSG00000169442	Th-resting [CD52]
ENSG00000126353	Quiecence;Tn;Tcm [CCR7]
ENSG00000188404	Quiecence;Tn [SELL]
