gene_name	average_group_short
MKI67	MKI67
TOP2A	TOP2A
CDC45	CDC45
PCNA	PCNA
SYCP2	SYCP2
CTLA4	CTLA4
IL2RA	IL2RA
CCNB1	CCNB1
CCNB2	CCNB2
RHOB	RHOB
MDM2	apoptosis
BAX	apoptosis
FDXR	apoptosis
PHLDA3	apoptosis
TP53	apoptosis
FOXP3	FOXP3
GATA3	GATA3
TBX21	TBX21
IKZF2	IKZF2
GZMB	GZMB
GZMA	GZMA
NKG7	NKG7
IFNG	IFNG
IL10	IL10
IL13	IL13
IL4	IL4
IL5	IL5
RORC	RORC
IL17A	IL17A
IL7R	IL7R
CD52	CD52
CCR7	CCR7
SELL	SELL
IFIH1	IFIH1
GAPDH	glycolysis
TPI1	glycolysis
PGK1	glycolysis
G6PD	glycolysis
LDHA	glycolysis
HLA-DMA	HLA
HLA-DPA1	HLA
HLA-DQA1	HLA
HLA-DQA2	HLA
HLA-DQB1	HLA
HLA-DRA	HLA
HLA-DRB5	HLA
HSPA5	HSP
HSPA8	HSP
HSPB1	HSP
HSPD1	HSP
HSPE1	HSP
HSPH1	HSP
IFI27	IFN_response
IFI30	IFN_response
IFI44	IFN_response
IFI6	IFN_response
IFITM1	IFN_response
IFITM2	IFN_response
IFITM3	IFN_response
CCL1	chemokines
CCL3	chemokines
CCL4	chemokines
CCL4L2	chemokines
CCL3L1	chemokines
CXCL8	chemokines
MT-ATP6	mitochondria_oxphos
MT-ATP8	mitochondria_oxphos
MT-CO1	mitochondria_oxphos
MT-CO2	mitochondria_oxphos
MT-CO3	mitochondria_oxphos
MT-CYB	mitochondria_oxphos
MT-ND1	mitochondria_oxphos
MT-ND2	mitochondria_oxphos
MT-ND3	mitochondria_oxphos
MT-ND4	mitochondria_oxphos
MT-ND4L	mitochondria_oxphos
MT-ND5	mitochondria_oxphos
MT-ND6	mitochondria_oxphos
H1-1	histones
H1-2	histones
H1-3	histones
H1-4	histones
H1-5	histones
