ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name	start_position	end_position	strand	external_gene_name	source	final_gene_name
ENSG00000290825		lncRNA	1	11121	24894	1	DDX11L16	havana	NO_NAME_2655
ENSG00000223972	DDX11L1	transcribed_unprocessed_pseudogene	1	12010	13670	1	DDX11L1	havana	DDX11L1
ENSG00000310526	WASH7P	lncRNA	1	14356	30744	-1	WASH7P	havana	WASH7P_1
ENSG00000227232	WASH7P	transcribed_unprocessed_pseudogene	1	14696	24886	-1	WASH7P	havana	WASH7P
ENSG00000278267	MIR6859-1	miRNA	1	17369	17436	-1	MIR6859-1	mirbase	MIR6859-1
ENSG00000243485	MIR1302-2HG	lncRNA	1	28589	31109	1	MIR1302-2HG	havana	MIR1302-2HG
ENSG00000284332	MIR1302-2	miRNA	1	30366	30503	1	MIR1302-2	mirbase	MIR1302-2
ENSG00000237613	FAM138A	lncRNA	1	34553	37595	-1	FAM138A	havana	FAM138A
ENSG00000308361		lncRNA	1	36526	40778	1		havana_tagene	NO_NAME_2656
ENSG00000290826		lncRNA	1	51891	64116	1		havana	NO_NAME_2772
ENSG00000268020	OR4G4P	transcribed_unprocessed_pseudogene	1	52473	53312	1	OR4G4P	havana	OR4G4P
ENSG00000240361	OR4G11P	transcribed_unprocessed_pseudogene	1	62949	63887	1	OR4G11P	havana	OR4G11P
ENSG00000186092	OR4F5	protein_coding	1	65419	71585	1	OR4F5	ensembl_havana	OR4F5
ENSG00000241860		lncRNA	1	89295	181719	-1		havana	NO_NAME_2893
ENSG00000239945		lncRNA	1	89551	91105	-1		havana	NO_NAME_625
ENSG00000308314		lncRNA	1	96638	105742	1		havana_tagene	NO_NAME_2657
ENSG00000233750	CICP27	processed_pseudogene	1	131025	134836	1	CICP27	havana	CICP27
ENSG00000308579		lncRNA	1	134914	136246	-1		havana_tagene	NO_NAME_2774
ENSG00000268903		transcribed_processed_pseudogene	1	135141	135895	-1		havana	NO_NAME_2773
ENSG00000269981		transcribed_processed_pseudogene	1	137682	137965	-1		havana	NO_NAME_2775
ENSG00000239906		lncRNA	1	139790	140339	-1		havana	NO_NAME_2658
ENSG00000310528		lncRNA	1	146386	199861	-1		havana	NO_NAME_2839
ENSG00000222623	RNU6-1100P	snRNA	1	157784	157887	-1	RNU6-1100P	ensembl	RNU6-1100P
ENSG00000241599		lncRNA	1	160446	161525	1		havana	NO_NAME_626
ENSG00000308415		lncRNA	1	180931	184937	1	DDX11L2	havana_tagene	NO_NAME_2837
ENSG00000310527		lncRNA	1	182146	201244	-1	WASH9P	havana	NO_NAME_2838
ENSG00000279928	DDX11L17	transcribed_unprocessed_pseudogene	1	182696	184174	1	DDX11L17	havana	DDX11L17
ENSG00000279457	WASH9P	transcribed_unprocessed_pseudogene	1	185217	195411	-1	WASH9P	havana	WASH9P
ENSG00000273874	MIR6859-2	miRNA	1	187891	187958	-1	MIR6859-2	mirbase	MIR6859-2
ENSG00000308625		lncRNA	1	199108	199882	1		havana_tagene	NO_NAME_2659
ENSG00000308544		lncRNA	1	199948	201629	1		havana_tagene	NO_NAME_2660
ENSG00000292994		lncRNA	1	257864	359681	-1		havana	NO_NAME_2816
ENSG00000228463		transcribed_processed_pseudogene	1	258568	259024	-1		havana	NO_NAME_996
ENSG00000306775		lncRNA	1	258696	266103	1		havana_tagene	NO_NAME_2257
ENSG00000286448		lncRNA	1	266753	284291	1		havana_tagene	NO_NAME_1841
ENSG00000236679	RPL23AP24	transcribed_processed_pseudogene	1	347982	348366	-1	RPL23AP24	havana	RPL23AP24
ENSG00000236601		lncRNA	1	356138	366052	1		havana	NO_NAME_1980
ENSG00000290385		lncRNA	1	365127	532459	-1		havana	NO_NAME_1979
ENSG00000269732	WBP1LP7	processed_pseudogene	1	439870	440232	1	WBP1LP7	havana	WBP1LP7
ENSG00000284733	OR4F29	protein_coding	1	450740	451678	-1	OR4F29	ensembl_havana	OR4F29
ENSG00000237094		transcribed_unprocessed_pseudogene	1	485026	485208	-1		havana	NO_NAME_920
ENSG00000233653	CICP7	transcribed_processed_pseudogene	1	487101	489906	1	CICP7	havana	CICP7
ENSG00000250575		unprocessed_pseudogene	1	491225	493241	-1		havana	NO_NAME_870
ENSG00000278757		snRNA	1	516376	516479	-1	U6	ensembl	NO_NAME_2865
ENSG00000293331		lncRNA	1	586054	633129	-1		havana	NO_NAME_2704
ENSG00000225880	LINC00115	lncRNA	1	586945	827989	-1	LINC00115	havana	LINC00115
ENSG00000235146		lncRNA	1	587577	595116	1		havana	NO_NAME_2701
ENSG00000225972	MTND1P23	unprocessed_pseudogene	1	629062	629433	1	MTND1P23	havana	MTND1P23
ENSG00000225630	MTND2P28	unprocessed_pseudogene	1	629640	630683	1	MTND2P28	havana	MTND2P28
ENSG00000237973	MTCO1P12	unprocessed_pseudogene	1	631074	632616	1	MTCO1P12	havana	MTCO1P12
ENSG00000278791		miRNA	1	632325	632413	-1		mirbase	NO_NAME_886
ENSG00000229344	MTCO2P12	unprocessed_pseudogene	1	632757	633438	1	MTCO2P12	havana	MTCO2P12
ENSG00000240409	MTATP8P1	unprocessed_pseudogene	1	633535	633741	1	MTATP8P1	havana	MTATP8P1
ENSG00000248527	MTATP6P1	unprocessed_pseudogene	1	633696	634376	1	MTATP6P1	havana	MTATP6P1
ENSG00000198744	MTCO3P12	unprocessed_pseudogene	1	634376	634922	1	MTCO3P12	havana	MTCO3P12
ENSG00000268663	WBP1LP6	processed_pseudogene	1	674842	675265	1	WBP1LP6	havana	WBP1LP6
ENSG00000284662	OR4F16	protein_coding	1	685716	686654	-1	OR4F16	ensembl_havana	OR4F16
ENSG00000230021		transcribed_processed_pseudogene	1	720024	720206	-1		havana	NO_NAME_1007
ENSG00000229376	CICP3	processed_pseudogene	1	722092	724903	1	CICP3	havana	CICP3
ENSG00000223181	RNU6-1199P	snRNA	1	758233	758336	-1	RNU6-1199P	ensembl	RNU6-1199P
ENSG00000229905		lncRNA	1	760911	761989	1		havana	NO_NAME_1032
ENSG00000228327		transcribed_unprocessed_pseudogene	1	764723	774280	-1		havana	NO_NAME_932
ENSG00000237491	LINC01409	lncRNA	1	778739	810066	1	LINC01409	havana	LINC01409
ENSG00000285268		transcribed_processed_pseudogene	1	781937	782050	1		havana	NO_NAME_553
ENSG00000230092		transcribed_unprocessed_pseudogene	1	805799	810161	-1		havana	NO_NAME_926
ENSG00000177757	FAM87B	lncRNA	1	817363	819842	1	FAM87B	havana	FAM87B
ENSG00000228794	LINC01128	lncRNA	1	825138	868835	1	LINC01128	havana	LINC01128
ENSG00000297178		lncRNA	1	833098	835618	-1		havana_tagene	NO_NAME_2702
ENSG00000297224		lncRNA	1	850902	852130	-1		havana_tagene	NO_NAME_2703
ENSG00000230368	FAM41C	lncRNA	1	868052	877032	-1	FAM41C	havana	FAM41C
ENSG00000234711	TUBB8P11	unprocessed_pseudogene	1	873292	874349	1	TUBB8P11	havana	TUBB8P11
ENSG00000283040		transcribed_unprocessed_pseudogene	1	874529	877234	-1		havana	NO_NAME_554
ENSG00000296088		lncRNA	1	882161	889297	1		havana_tagene	NO_NAME_2929
ENSG00000272438		lncRNA	1	904786	921034	1		havana	NO_NAME_2930
ENSG00000298603		lncRNA	1	908073	910592	-1		havana_tagene	NO_NAME_2931
ENSG00000223764	LINC02593	lncRNA	1	916865	925614	-1	LINC02593	havana	LINC02593
ENSG00000187634	SAMD11	protein_coding	1	923923	944575	1	SAMD11	ensembl_havana	SAMD11
ENSG00000188976	NOC2L	protein_coding	1	943527	960714	-1	NOC2L	ensembl_havana	NOC2L
ENSG00000187961	KLHL17	protein_coding	1	960576	965719	1	KLHL17	ensembl_havana	KLHL17
ENSG00000187583	PLEKHN1	protein_coding	1	966437	975865	1	PLEKHN1	ensembl_havana	PLEKHN1
ENSG00000187642	PERM1	protein_coding	1	975194	982134	-1	PERM1	ensembl_havana	PERM1
ENSG00000303599		lncRNA	1	982505	989967	1		havana_tagene	NO_NAME_2932
ENSG00000272512		lncRNA	1	995966	998051	-1		havana	NO_NAME_530
ENSG00000188290	HES4	protein_coding	1	998962	1000172	-1	HES4	ensembl_havana	HES4
ENSG00000303623		lncRNA	1	1000715	1001068	1		havana_tagene	NO_NAME_2933
ENSG00000187608	ISG15	protein_coding	1	1001138	1014540	1	ISG15	ensembl_havana	ISG15
ENSG00000303614		lncRNA	1	1004058	1006442	-1		havana_tagene	NO_NAME_2934
ENSG00000231702		processed_pseudogene	1	1008076	1008229	-1		havana	NO_NAME_531
ENSG00000224969		lncRNA	1	1011997	1013193	-1		havana	NO_NAME_1033
ENSG00000188157	AGRN	protein_coding	1	1020120	1056119	1	AGRN	ensembl_havana	AGRN
ENSG00000242590		lncRNA	1	1055033	1056116	1		havana	NO_NAME_532
ENSG00000291156		lncRNA	1	1058461	1066464	1		havana	NO_NAME_2935
ENSG00000273443		lncRNA	1	1061267	1064278	-1		havana	NO_NAME_2936
